metabolite,microbe,abs_grad,signed_grad,met_test_spearman
C00134_Putrescine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017541995,0.0068036851007491,-0.0068036851007491,0.5912868515440469
C00431_5-Aminovalerate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017541995,0.0065006408258341,-0.0065006408258341,0.6414311958708774
C00041_Ala,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017541995,0.0064142039045691,-0.0064142039045691,0.4726970518764762
C00037_Gly,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017541995,0.0063174438546411,-0.0063174438546411,0.5632578077158603
C00114_Choline,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017541995,0.0060377804329618,-0.0060377804329618,0.4539760300936051
C00037_Gly,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp900319095,0.0058846002211794,-0.0058846002211794,0.5632578077158603
C00568_p-Aminobenzoate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902779945,0.0057460312382318,-0.0057460312382318,0.5001688998778359
C02714_N-Acetylputrescine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017541995,0.0057358924532309,-0.0057358924532309,0.6011197620505643
C00134_Putrescine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter pullicola,0.0056969568249769,-0.0056969568249769,0.5912868515440469
C00041_Ala,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp000702245,0.005672633938957,-0.005672633938957,0.4726970518764762
C00431_5-Aminovalerate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__JAGFXR01;s__JAGFXR01 sp017861365,0.005670127691701,-0.005670127691701,0.6414311958708774
C00134_Putrescine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__JAGFXR01;s__JAGFXR01 sp017861365,0.0056239654950331,-0.0056239654950331,0.5912868515440469
"C03793_N6,N6,N6-Trimethyllysine",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp017437905,0.0055626776302233,-0.0055626776302233,0.5126585600559881
C00077_Ornithine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017541995,0.0055418022093363,-0.0055418022093363,0.4542559706062462
C05135_4-(beta-Acetylaminoethyl)imidazole,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena_B,0.0054837679781485,-0.0054837679781485,0.4551336845496959
C00037_Gly,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp000702245,0.0054511615599039,-0.0054511615599039,0.5632578077158603
C00568_p-Aminobenzoate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp002405995,0.0054248161031864,-0.0054248161031864,0.5001688998778359
C05135_4-(beta-Acetylaminoethyl)imidazole,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter pullistercoris,0.005405077477917,-0.005405077477917,0.4551336845496959
C00134_Putrescine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RGIG7949;s__RGIG7949 sp017557265,0.0054007110302336,-0.0054007110302336,0.5912868515440469
C00041_Ala,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp900319095,0.0053486750111915,-0.0053486750111915,0.4726970518764762
