metabolite,metabolite_index,microbe,microbe_index,signed_grad,abs_grad,val_spearman
8.132229295822412940e-03,9,2.952043000072859691e+00,9,-0.13021095097064972,0.13021095097064972,0.943200322265701
5.365525319999372655e+00,7,0.000000000000000000e+00.4,4,-0.1248584482818842,0.1248584482818842,0.9301986663520956
6.201795912870136540e+00,8,2.952043000072859691e+00,9,0.11806786432862282,0.11806786432862282,0.9983498577347361
2.107073290073050720e-01,4,0.000000000000000000e+00.3,3,-0.08708807360380888,0.08708807360380888,0.8983357984998795
1.864996760493499439e-01,3,0.000000000000000000e+00.4,4,-0.05613415502011776,0.05613415502011776,0.9808714971371366
1.864996760493499439e-01,3,2.952043000072859691e+00,9,-0.055253344122320414,0.055253344122320414,0.9808714971371366
6.201795912870136540e+00,8,0.000000000000000000e+00.1,1,-0.04850161401554942,0.04850161401554942,0.9983498577347361
3.810967664734761673e+00,5,0.000000000000000000e+00.5,5,-0.04117679665796459,0.04117679665796459,0.79282280144739
3.810967664734761673e+00,5,0.000000000000000000e+00,0,-0.03789381799288094,0.03789381799288094,0.79282280144739
2.107073290073050720e-01,4,2.173821302551228740e+00,8,-0.03194587701000273,0.03194587701000273,0.8983357984998795
8.132229295822412940e-03,9,0.000000000000000000e+00.1,1,0.030943903606384993,0.030943903606384993,0.943200322265701
6.201795912870136540e+00,8,0.000000000000000000e+00.5,5,0.02939259260892868,0.02939259260892868,0.9983498577347361
1.722323565627724429e-02,2,0.000000000000000000e+00.5,5,-0.027219391195103526,0.027219391195103526,0.8295607197437567
5.365525319999372655e+00,7,0.000000000000000000e+00.1,1,0.02594611921813339,0.02594611921813339,0.9301986663520956
8.132229295822412940e-03,9,0.000000000000000000e+00,0,0.02579424693249166,0.02579424693249166,0.943200322265701
2.107073290073050720e-01,4,0.000000000000000000e+00.1,1,0.024511849391274154,0.024511849391274154,0.8983357984998795
3.810967664734761673e+00,5,0.000000000000000000e+00.1,1,0.021859847474843264,0.021859847474843264,0.79282280144739
1.299679340881831555e-02,1,0.000000000000000000e+00,0,-0.021597155835479498,0.021597155835479498,0.6322836650064565
1.299679340881831555e-02,1,1.771141028114855853e+00,7,-0.02110020164400339,0.02110020164400339,0.6322836650064565
1.722323565627724429e-02,2,0.000000000000000000e+00.1,1,0.02080934285186231,0.02080934285186231,0.8295607197437567
6.201795912870136540e+00,8,2.173821302551228740e+00,8,0.018426757771521807,0.018426757771521807,0.9983498577347361
1.864996760493499439e-01,3,0.000000000000000000e+00.1,1,0.017946972511708736,0.017946972511708736,0.9808714971371366
1.864996760493499439e-01,3,1.771141028114855853e+00,7,0.017211374011822045,0.017211374011822045,0.9808714971371366
