metabolite,metabolite_index,importance_mean_abs_grad,val_spearman
6.201795912870136540e+00,8,0.024856419224306592,0.9983498577347361
8.132229295822412940e-03,9,0.02351708428177517,0.943200322265701
5.365525319999372655e+00,7,0.020645331091509435,0.9301986663520956
1.864996760493499439e-01,3,0.019583024341773125,0.9808714971371366
2.107073290073050720e-01,4,0.019231525847135344,0.8983357984998795
3.810967664734761673e+00,5,0.012826436184332124,0.79282280144739
1.722323565627724429e-02,2,0.010569209593450068,0.8295607197437567
1.299679340881831555e-02,1,0.008867726744574611,0.6322836650064565
5.112819288934979056e+00,6,0.006319687715222244,0.7147299590673304
1.105838762585094337e-02,0,0.002781970856449334,0.8052421343843477
